left_model,left_prompt,right_model,right_prompt,left_family,right_family,relation,n,n11,n10,n01,n00,joint_error_rate,conditional_coerror_left_to_right,conditional_coerror_right_to_left,conditional_coerror_symmetric,error_phi,error_cooccurrence_lift
internvl3_8b,wrapper_paraphrase,internvl3_8b,rules_first,InternVL3,InternVL3,within_family,84,14,32,0,38,0.16666666666666666,0.30434782608695654,1.0,0.6521739130434783,0.40646942234853023,1.8260869565217388
internvl3_8b,wrapper_paraphrase,internvl3_8b,schema_first,InternVL3,InternVL3,within_family,84,19,27,1,37,0.2261904761904762,0.41304347826086957,0.95,0.6815217391304348,0.4519298182690895,1.7347826086956522
internvl3_8b,wrapper_paraphrase,llava_onevision_7b,canonical,InternVL3,LLaVA-OneVision,between_family,84,30,16,13,25,0.35714285714285715,0.6521739130434783,0.6976744186046512,0.6749241658240648,0.30874676529658407,1.2740141557128413
internvl3_8b,wrapper_paraphrase,llava_onevision_7b,wrapper_paraphrase,InternVL3,LLaVA-OneVision,between_family,84,32,14,10,28,0.38095238095238093,0.6956521739130435,0.7619047619047619,0.7287784679089027,0.4305283859114459,1.3913043478260867
internvl3_8b,wrapper_paraphrase,llava_onevision_7b,rules_first,InternVL3,LLaVA-OneVision,between_family,84,36,10,20,18,0.42857142857142855,0.782608695652174,0.6428571428571429,0.7127329192546584,0.27060403659669535,1.1739130434782608
internvl3_8b,wrapper_paraphrase,llava_onevision_7b,schema_first,InternVL3,LLaVA-OneVision,between_family,84,34,12,15,23,0.40476190476190477,0.7391304347826086,0.6938775510204082,0.7165039929015085,0.34769121281737214,1.2670807453416149
internvl3_8b,rules_first,internvl3_8b,schema_first,InternVL3,InternVL3,within_family,84,11,3,9,61,0.13095238095238096,0.7857142857142857,0.55,0.6678571428571429,0.575,3.3000000000000003
internvl3_8b,rules_first,llava_onevision_7b,canonical,InternVL3,LLaVA-OneVision,between_family,84,14,0,29,41,0.16666666666666666,1.0,0.32558139534883723,0.6627906976744187,0.43668944848553953,1.9534883720930234
internvl3_8b,rules_first,llava_onevision_7b,wrapper_paraphrase,InternVL3,LLaVA-OneVision,between_family,84,14,0,28,42,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.4472135954999579,2.0
internvl3_8b,rules_first,llava_onevision_7b,rules_first,InternVL3,LLaVA-OneVision,between_family,84,14,0,42,28,0.16666666666666666,1.0,0.25,0.625,0.31622776601683794,1.5
internvl3_8b,rules_first,llava_onevision_7b,schema_first,InternVL3,LLaVA-OneVision,between_family,84,14,0,35,35,0.16666666666666666,1.0,0.2857142857142857,0.6428571428571428,0.3779644730092272,1.7142857142857142
internvl3_8b,schema_first,llava_onevision_7b,canonical,InternVL3,LLaVA-OneVision,between_family,84,15,5,28,36,0.17857142857142858,0.75,0.3488372093023256,0.5494186046511628,0.26627405395459725,1.4651162790697676
internvl3_8b,schema_first,llava_onevision_7b,wrapper_paraphrase,InternVL3,LLaVA-OneVision,between_family,84,18,2,24,40,0.21428571428571427,0.9,0.42857142857142855,0.6642857142857143,0.4472135954999579,1.8
internvl3_8b,schema_first,llava_onevision_7b,rules_first,InternVL3,LLaVA-OneVision,between_family,84,15,5,41,23,0.17857142857142858,0.75,0.26785714285714285,0.5089285714285714,0.09882117688026186,1.125
internvl3_8b,schema_first,llava_onevision_7b,schema_first,InternVL3,LLaVA-OneVision,between_family,84,15,5,34,30,0.17857142857142858,0.75,0.30612244897959184,0.528061224489796,0.1889822365046136,1.2857142857142856
llava_onevision_7b,canonical,llava_onevision_7b,wrapper_paraphrase,LLaVA-OneVision,LLaVA-OneVision,within_family,84,39,4,3,38,0.4642857142857143,0.9069767441860465,0.9285714285714286,0.9177740863787376,0.8335696394016966,1.8139534883720931
llava_onevision_7b,canonical,llava_onevision_7b,rules_first,LLaVA-OneVision,LLaVA-OneVision,within_family,84,43,0,13,28,0.5119047619047619,1.0,0.7678571428571429,0.8839285714285714,0.7241479433806597,1.5
llava_onevision_7b,canonical,llava_onevision_7b,schema_first,LLaVA-OneVision,LLaVA-OneVision,within_family,84,42,1,7,34,0.5,0.9767441860465116,0.8571428571428571,0.9169435215946844,0.8172141157293167,1.6744186046511629
llava_onevision_7b,wrapper_paraphrase,llava_onevision_7b,rules_first,LLaVA-OneVision,LLaVA-OneVision,within_family,84,39,3,17,25,0.4642857142857143,0.9285714285714286,0.6964285714285714,0.8125,0.5555838995037159,1.392857142857143
llava_onevision_7b,wrapper_paraphrase,llava_onevision_7b,schema_first,LLaVA-OneVision,LLaVA-OneVision,within_family,84,39,3,10,32,0.4642857142857143,0.9285714285714286,0.7959183673469388,0.8622448979591837,0.7002706682036279,1.5918367346938775
