edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E615,P171,P030,4,3,0+1
E616,P171,P054,4,3,0+2
E617,P171,P104,4,3,1+2
E618,P171,P168,4,3,0+3
E619,P171,P169,4,3,1+3
E620,P171,P170,4,3,2+3
E621,P172,P031,4,3,0+1
E622,P172,P058,4,3,0+2
E623,P172,P105,4,3,1+2
E624,P172,P160,4,3,0+3
E625,P172,P164,4,3,1+3
E626,P172,P168,4,3,2+3
E627,P173,P031,4,3,0+1
E628,P173,P059,4,3,0+2
E629,P173,P106,4,3,1+2
E630,P173,P161,4,3,0+3
E631,P173,P165,4,3,1+3
E632,P173,P169,4,3,2+3
E633,P174,P032,4,3,0+1
E634,P174,P058,4,3,0+2
E635,P174,P106,4,3,1+2
E636,P174,P162,4,3,0+3
