method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
nested_evidential_composition,0.12,31200.0,3742.0,0.0,3742.0,0.11993589743589744,0.0,0.0,0.11993589743589744
nested_evidential_composition,0.13,31200.0,4062.0,0.0,4062.0,0.1301923076923077,0.0,0.0,0.1301923076923077
nested_evidential_composition,0.14,31200.0,4372.0,0.0,4372.0,0.14012820512820512,0.0,0.0,0.14012820512820512
nested_evidential_composition,0.15,31200.0,4688.0,0.0,4688.0,0.15025641025641026,0.0,0.0,0.15025641025641026
nested_evidential_composition,0.16,31200.0,4990.0,188.0,4802.0,0.15993589743589742,0.006025641025641026,0.03767535070140281,0.1539102564102564
nested_evidential_composition,0.17,31200.0,5304.0,317.0,4987.0,0.17,0.01016025641025641,0.05976621417797889,0.1598397435897436
nested_evidential_composition,0.18,31200.0,5622.0,389.0,5233.0,0.18019230769230768,0.012467948717948717,0.06919245819992885,0.16772435897435897
nested_evidential_composition,0.19,31200.0,5925.0,457.0,5468.0,0.18990384615384615,0.014647435897435897,0.07713080168776372,0.17525641025641026
nested_evidential_composition,0.2,31200.0,6232.0,527.0,5705.0,0.19974358974358974,0.01689102564102564,0.08456354300385109,0.1828525641025641
nested_evidential_composition,0.21,31200.0,6553.0,611.0,5942.0,0.21003205128205127,0.019583333333333335,0.0932397375247978,0.19044871794871795
