method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
cautious_evidence_fusion,0.2,31200,6238,1237,5001,0.19993589743589743,0.0396474358974359,0.16028846153846155,0.1983007374158384
cautious_evidence_fusion,0.21,31200,6547,1502,5045,0.20983974358974358,0.04814102564102564,0.16169871794871796,0.22941805407056667
cautious_evidence_fusion,0.22,31200,6864,1782,5082,0.22,0.057115384615384616,0.16288461538461538,0.25961538461538464
cautious_evidence_fusion,0.23,31200,7178,2047,5131,0.23006410256410256,0.06560897435897436,0.1644551282051282,0.28517692950682644
cautious_evidence_fusion,0.24,31200,7488,2302,5186,0.24,0.07378205128205129,0.1662179487179487,0.3074252136752137
cautious_evidence_fusion,0.25,31200,7791,2535,5256,0.24971153846153846,0.08125,0.16846153846153847,0.3253754331921448
cautious_evidence_fusion,0.26,31200,8110,2787,5323,0.25993589743589746,0.08932692307692308,0.17060897435897435,0.3436498150431566
cautious_evidence_fusion,0.27,31200,8421,3021,5400,0.26990384615384616,0.09682692307692307,0.17307692307692307,0.358745992162451
cautious_evidence_fusion,0.28,31200,8735,3249,5486,0.2799679487179487,0.10413461538461538,0.17583333333333334,0.37195191757298224
cautious_evidence_fusion,0.29,31200,9047,3472,5575,0.28996794871794873,0.11128205128205128,0.17868589743589744,0.38377362661655795
cautious_evidence_fusion,0.3,31200,9365,3686,5679,0.3001602564102564,0.11814102564102565,0.18201923076923077,0.39359316604378003
cautious_evidence_fusion,0.31,31200,9667,3880,5787,0.3098397435897436,0.12435897435897436,0.18548076923076923,0.4013654701562015
cautious_evidence_fusion,0.32,31200,9978,4091,5887,0.3198076923076923,0.13112179487179487,0.18868589743589745,0.41000200440970136
cautious_evidence_fusion,0.33,31200,10281,4286,5995,0.3295192307692308,0.13737179487179488,0.1921474358974359,0.4168855169730571
cautious_evidence_fusion,0.34,31200,10615,4503,6112,0.340224358974359,0.14432692307692307,0.19589743589743588,0.4242110221384833
