pairing,is_registered,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC,mean_evidence_budget,mean_budget_ratio_to_registered,mean_posterior_l1_drift
qwen3vl_8b+internvl3_8b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5867823853025905,0.3948437907324393,0.2996706188431533,0.16402084726141758,6.026322898413884,0.8688706807397242,0.014259223467257725
qwen3vl_8b+internvl3_8b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+smolvlm2_2_2b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5837482673392749,0.3919272823850075,0.2974865340631876,0.16440472745658483,5.766868195854405,0.8307581172287706,0.017799971802450684
qwen3vl_8b+internvl3_8b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5848202710085532,0.3929689583569043,0.2982841331972255,0.16462896372918048,5.879886409223074,0.8463035477285727,0.01622676159510487
qwen3vl_8b+internvl3_8b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.587779267942392,0.3958135219671553,0.3004051971766588,0.1642436160538382,6.135969755083826,0.8839409585430695,0.012823017621574506
qwen3vl_8b+internvl3_8b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+smolvlm2_0_5b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5848182544511378,0.3929670124698374,0.29828294077733225,0.16462896372918048,5.8797771292390255,0.8462888470936244,0.01622914643489146
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+internvl3_2b;internvl3_8b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5851945280730748,0.39335501183850485,0.29835489827387274,0.1644149939591171,5.924239249547432,0.85826640265801,0.02101916176351601
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+internvl3_2b;internvl3_8b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5833544157144437,0.3915746195929902,0.29711260132052986,0.16444841322497433,5.7543872027668,0.8331518141255247,0.02089076003529686
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+internvl3_2b;internvl3_8b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5842331061824593,0.3924139923987996,0.29768162829841194,0.1644583402817428,5.8019247689854785,0.8399777045759006,0.0200106402746913
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+internvl3_8b;internvl3_2b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5888786561037451,0.39684839288995616,0.3009340308065555,0.16406183395048346,6.1268641459234,0.8851290749030118,0.014124023931996832
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+internvl3_8b;internvl3_2b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5850298354897859,0.39313670446602117,0.2981996295696977,0.1644435518369785,5.795476766570153,0.8365506651375834,0.01621461992776024
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+internvl3_8b;internvl3_2b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5850298354897859,0.39313670446602117,0.2981996295696977,0.1644435518369785,5.795476766570153,0.8365506651375834,0.01621461992776024
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+internvl3_8b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5844627384555385,0.39265454723882104,0.29794506683398253,0.16447132912242876,5.90209056302942,0.8535185334455264,0.019799065543162575
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+smolvlm2_0_5b;internvl3_8b+smolvlm2_2_2b,False,0.8661347517730497,0.5823460706257231,0.3906082682591134,0.2965334524219816,0.16441356630079862,5.699084030807614,0.8232815723362336,0.020334695872423304
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+smolvlm2_0_5b,False,0.8661347517730497,0.5814581407282088,0.38976028251186234,0.2959584184103085,0.16441355070167518,5.651546464588937,0.8164556818858578,0.021233136151571654
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+internvl3_8b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5824544077464886,0.39072558210199987,0.29672774453701556,0.16449473657937885,5.786183640556223,0.8347257469023335,0.018923302991334552
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+llava_onevision_7b;internvl3_8b+smolvlm2_2_2b,False,0.8661347517730497,0.5843369606827752,0.39252480339097445,0.29815417556016854,0.1640630884583807,5.914564487687664,0.8530671955584692,0.017130613088375754
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+llava_onevision_7b,False,0.8661347517730497,0.5813376026356796,0.3896554668904237,0.29601461174997235,0.16456145996075577,5.70549158889637,0.8227774838751502,0.020330360384273022
qwen3vl_8b+llava_onevision_0_5b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+internvl3_8b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.583614715641649,0.39184479356338986,0.2975834873888895,0.16452961042331635,5.899092573940842,0.8502564767671874,0.017252619926942093
